img_path,true_label,det_model,pred_label,pred_score,pred_bbox,gt_bbox,iou,match
/kaggle/input/mosquito-data/train_images/b0f7cc74-2272-4756-a387-38bcaf6965c8.jpeg,albopictus,YOLO,albopictus,0.8526312112808228,"[904.7501831054688, 1906.62646484375, 1968.865234375, 2959.90576171875]","[900, 1897, 1950, 2990]",0.9429728415563308,True
/kaggle/input/mosquito-data/train_images/b0f7cc74-2272-4756-a387-38bcaf6965c8.jpeg,albopictus,RetinaNet,albopictus,0.4722178876399994,"[922.8095092773438, 1996.680419921875, 1911.4246826171875, 3027.322998046875]","[900, 1897, 1950, 2990]",0.8290172628785688,True
/kaggle/input/mosquito-data/train_images/b0f7cc74-2272-4756-a387-38bcaf6965c8.jpeg,albopictus,FRCNN,albopictus,0.8317012786865234,"[967.5133666992188, 1930.00341796875, 1944.892822265625, 2933.168212890625]","[900, 1897, 1950, 2990]",0.8543307289707432,True
/kaggle/input/mosquito-data/train_images/707723f2-5391-4b44-9255-199233b2c798.jpeg,culiseta,YOLO,culex,0.4542957842350006,"[592.5277709960938, 742.3048095703125, 801.9605712890625, 1123.0458984375]","[576, 754, 801, 1143]",0.8517303151667818,False
/kaggle/input/mosquito-data/train_images/707723f2-5391-4b44-9255-199233b2c798.jpeg,culiseta,RetinaNet,culex,0.795379102230072,"[591.0250854492188, 744.5693359375, 799.7926025390625, 1107.4671630859375]","[576, 754, 801, 1143]",0.8245537517907441,False
/kaggle/input/mosquito-data/train_images/707723f2-5391-4b44-9255-199233b2c798.jpeg,culiseta,FRCNN,culex,0.9688666462898254,"[583.30712890625, 754.7559814453125, 800.4730834960938, 1120.882568359375]","[576, 754, 801, 1143]",0.9084287888832374,False
/kaggle/input/mosquito-data/train_images/87aa3106-f8cb-4d5e-b636-ee9ea9935283.jpeg,culex,YOLO,culex,0.8537521958351135,"[315.9964904785156, 649.5879516601562, 584.2892456054688, 888.7744140625]","[316, 646, 588, 901]",0.9251784736656267,True
/kaggle/input/mosquito-data/train_images/87aa3106-f8cb-4d5e-b636-ee9ea9935283.jpeg,culex,RetinaNet,culex,0.8840306997299194,"[316.8531188964844, 654.6701049804688, 588.5455932617188, 883.8636474609375]","[316, 646, 588, 901]",0.8943667362202404,True
/kaggle/input/mosquito-data/train_images/87aa3106-f8cb-4d5e-b636-ee9ea9935283.jpeg,culex,FRCNN,culex,0.9801653623580933,"[322.7933044433594, 655.5985107421875, 574.4483032226562, 886.1900634765625]","[316, 646, 588, 901]",0.8366424008225011,True
/kaggle/input/mosquito-data/train_images/fcd44271-4d8a-4727-80df-e857463a5bcb.jpeg,culex,YOLO,culex,0.7016052603721619,"[337.6352233886719, 765.1360473632812, 572.6236572265625, 1284.4710693359375]","[342, 760, 565, 1068]",0.548278800137056,True
/kaggle/input/mosquito-data/train_images/fcd44271-4d8a-4727-80df-e857463a5bcb.jpeg,culex,RetinaNet,culex,0.9137747287750244,"[348.47711181640625, 772.2423095703125, 567.8270874023438, 1075.34619140625]","[342, 760, 565, 1068]",0.9002803477527606,True
